=====mlp_123=====
Epoch 1 - loss: 2.3028825553131105 ; sparse_categorical_accuracy : 0.09978000074625015 ; val_loss : 2.3026430408477783 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 2 - loss: 2.3027048092651365 ; sparse_categorical_accuracy : 0.09914000332355499 ; val_loss : 2.3025934917449953 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 3 - loss: 2.3026635984802244 ; sparse_categorical_accuracy : 0.09945999830961227 ; val_loss : 2.302582553100586 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 4 - loss: 2.3027218785095216 ; sparse_categorical_accuracy : 0.09984000027179718 ; val_loss : 2.3025792488098142 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 5 - loss: 2.3027224562072752 ; sparse_categorical_accuracy : 0.09781999886035919 ; val_loss : 2.3025775939941404 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 6 - loss: 2.302720167236328 ; sparse_categorical_accuracy : 0.09870000183582306 ; val_loss : 2.302578321838379 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 7 - loss: 2.3026741955566408 ; sparse_categorical_accuracy : 0.10109999775886536 ; val_loss : 2.302577815246582 ; val_sparse_categorical_accuracy : 0.11479999870061874
Epoch 8 - loss: 2.3026448101806642 ; sparse_categorical_accuracy : 0.09842000156641006 ; val_loss : 2.302575734710693 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 9 - loss: 2.302606152114868 ; sparse_categorical_accuracy : 0.09914000332355499 ; val_loss : 2.302575562286377 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 10 - loss: 2.302596653289795 ; sparse_categorical_accuracy : 0.10057999938726425 ; val_loss : 2.3025781299591066 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 11 - loss: 2.302669310455322 ; sparse_categorical_accuracy : 0.10074000060558319 ; val_loss : 2.3025741523742678 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 12 - loss: 2.3026976863098145 ; sparse_categorical_accuracy : 0.10142000019550323 ; val_loss : 2.3025733993530273 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 13 - loss: 2.3026892526245115 ; sparse_categorical_accuracy : 0.09991999715566635 ; val_loss : 2.3025717803955077 ; val_sparse_categorical_accuracy : 0.10480000078678131
Epoch 14 - loss: 2.3027316065979004 ; sparse_categorical_accuracy : 0.09691999852657318 ; val_loss : 2.302571534729004 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 15 - loss: 2.3026571060943604 ; sparse_categorical_accuracy : 0.10109999775886536 ; val_loss : 2.30257053565979 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 16 - loss: 2.3026250899505616 ; sparse_categorical_accuracy : 0.10025999695062637 ; val_loss : 2.302569358062744 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 17 - loss: 2.3026782224273683 ; sparse_categorical_accuracy : 0.09765999764204025 ; val_loss : 2.302569158935547 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 18 - loss: 2.3027400369262696 ; sparse_categorical_accuracy : 0.09978000074625015 ; val_loss : 2.3025674423217772 ; val_sparse_categorical_accuracy : 0.10170000046491623
Epoch 19 - loss: 2.3027112190246584 ; sparse_categorical_accuracy : 0.09982000291347504 ; val_loss : 2.302567478942871 ; val_sparse_categorical_accuracy : 0.1005999967455864
Epoch 20 - loss: 2.30268463722229 ; sparse_categorical_accuracy : 0.10006000101566315 ; val_loss : 2.3025662986755373 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 21 - loss: 2.3027410887908935 ; sparse_categorical_accuracy : 0.10074000060558319 ; val_loss : 2.30256595954895 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 22 - loss: 2.3026908656311034 ; sparse_categorical_accuracy : 0.0964599996805191 ; val_loss : 2.302565096282959 ; val_sparse_categorical_accuracy : 0.10000000149011612
